mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__alpha,param_classifier__learning_rate,param_classifier__loss,param_classifier__max_iter,param_classifier__penalty,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,param_classifier__n_estimators,param_classifier__C,param_classifier__bootstrap,param_classifier__max_depth,param_classifier__eta0,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,classifier_name
3.0449737071990968,0.3288867717951761,0.0,0.0,SGDClassifier(),0.001,invscaling,modified_huber,1000,l2,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.001, 'classifier__learning_rate': 'invscaling', 'classifier__loss': 'modified_huber', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",,,,,,,,89,SGDClassifier
3.9488651752471924,0.610391515768591,0.0,0.0,SGDClassifier(),0.001,invscaling,modified_huber,1000,l1,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.001, 'classifier__learning_rate': 'invscaling', 'classifier__loss': 'modified_huber', 'classifier__max_iter': 1000, 'classifier__penalty': 'l1'}",,,,,,,,89,SGDClassifier
3.4772595882415773,0.5838156496342943,0.0,0.0,SGDClassifier(),0.001,invscaling,modified_huber,1000,elasticnet,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.001, 'classifier__learning_rate': 'invscaling', 'classifier__loss': 'modified_huber', 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet'}",,,,,,,,89,SGDClassifier
3.865277051925659,0.5760775421992527,0.0,0.0,SGDClassifier(),0.001,adaptive,log,1000,l2,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.001, 'classifier__learning_rate': 'adaptive', 'classifier__loss': 'log', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",,,,,,,,89,SGDClassifier
3.988416337966919,0.3534793605007969,0.0,0.0,SGDClassifier(),0.001,adaptive,log,1000,l1,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.001, 'classifier__learning_rate': 'adaptive', 'classifier__loss': 'log', 'classifier__max_iter': 1000, 'classifier__penalty': 'l1'}",,,,,,,,89,SGDClassifier
4.3565984725952145,0.2562924302773916,0.0,0.0,SGDClassifier(),0.001,adaptive,log,1000,elasticnet,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.001, 'classifier__learning_rate': 'adaptive', 'classifier__loss': 'log', 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet'}",,,,,,,,89,SGDClassifier
4.4677399635314945,0.2861475159260123,0.0,0.0,SGDClassifier(),0.001,adaptive,modified_huber,1000,l2,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.001, 'classifier__learning_rate': 'adaptive', 'classifier__loss': 'modified_huber', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",,,,,,,,89,SGDClassifier
4.183013153076172,0.30873721365750356,0.0,0.0,SGDClassifier(),0.001,adaptive,modified_huber,1000,l1,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.001, 'classifier__learning_rate': 'adaptive', 'classifier__loss': 'modified_huber', 'classifier__max_iter': 1000, 'classifier__penalty': 'l1'}",,,,,,,,89,SGDClassifier
4.6310254573822025,0.6169052909998706,0.0,0.0,SGDClassifier(),0.001,adaptive,modified_huber,1000,elasticnet,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.001, 'classifier__learning_rate': 'adaptive', 'classifier__loss': 'modified_huber', 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet'}",,,,,,,,89,SGDClassifier
4.444434881210327,0.2140796470089514,0.0,0.0,SGDClassifier(),0.01,optimal,log,1000,l2,,,,,,,,,"{'classifier': SGDClassifier(), 'classifier__alpha': 0.01, 'classifier__learning_rate': 'optimal', 'classifier__loss': 'log', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",,,,,,,,89,SGDClassifier
